Designator,Center-X(mm),Center-Y(mm),Layer,Rotation
L_LED462,-66.6388,42.6312,BottomLayer,-90
L_LED463,-71.6388,42.6312,BottomLayer,-90
L_LED464,-76.6388,42.6312,BottomLayer,-90
L_LED465,-76.6312,47.6388,BottomLayer,90
L_LED466,-71.6312,47.6388,BottomLayer,90
L_LED467,-66.6312,47.6388,BottomLayer,90
L_LED468,-61.6312,47.6388,BottomLayer,90
L_LED469,-56.6312,47.6388,BottomLayer,90
L_LED470,-51.6312,47.6388,BottomLayer,90
L_LED471,-46.6312,47.6388,BottomLayer,90
L_LED472,-41.6312,47.6388,BottomLayer,90
L_LED473,-36.6312,47.6388,BottomLayer,90
L_LED474,-31.6312,47.6388,BottomLayer,90
L_LED475,-26.6312,47.6388,BottomLayer,90
L_LED476,-21.6312,47.6388,BottomLayer,90
L_LED477,-16.6312,47.6388,BottomLayer,90
L_LED478,-11.6312,47.6388,BottomLayer,90
L_LED479,-6.6312,47.6388,BottomLayer,90
L_LED480,-6.6388,52.6312,BottomLayer,-90
L_LED481,-11.6388,52.6312,BottomLayer,-90
L_LED482,-16.6388,52.6312,BottomLayer,-90
L_LED483,-21.6388,52.6312,BottomLayer,-90
L_LED484,-26.6388,52.6312,BottomLayer,-90
L_LED485,-31.6388,52.6312,BottomLayer,-90
L_LED486,-36.6388,52.6312,BottomLayer,-90
L_LED487,-41.6388,52.6312,BottomLayer,-90
L_LED488,-46.6388,52.6312,BottomLayer,-90
L_LED489,-51.6388,52.6312,BottomLayer,-90
L_LED490,-56.6388,52.6312,BottomLayer,-90
L_LED491,-61.6388,52.6312,BottomLayer,-90
L_LED492,-66.6388,52.6312,BottomLayer,-90
L_LED493,-71.6388,52.6312,BottomLayer,-90
L_LED494,-76.6388,52.6312,BottomLayer,-90
L_LED495,-76.6312,57.6388,BottomLayer,90
L_LED496,-71.6312,57.6388,BottomLayer,90
L_LED497,-66.6312,57.6388,BottomLayer,90
L_LED498,-61.6312,57.6388,BottomLayer,90
L_LED499,-56.6312,57.6388,BottomLayer,90
L_LED500,-51.6312,57.6388,BottomLayer,90
L_LED501,-46.6312,57.6388,BottomLayer,90
L_LED502,-41.6312,57.6388,BottomLayer,90
L_LED503,-36.6312,57.6388,BottomLayer,90
L_LED504,-31.6312,57.6388,BottomLayer,90
